QqiTwoXzj-c	https://www.youtube.com/channel/UCZyVPCr8lGP2y12SxigR-mg	unk-f	Mo Ghrása (Idir Lúibiní)	side
HX_xwcSuZag	https://www.youtube.com/channel/UCd__CRDmcu3VfhPBwA7geRg	Dara Ó Cinnéide	An Spailpín Fánach
4ABl8T1aRmM	https://www.youtube.com/channel/UCd__CRDmcu3VfhPBwA7geRg	Caitlín Nic Aoidh	Colscaradh
ZF3dmCw_6Fc	https://www.youtube.com/channel/UCd__CRDmcu3VfhPBwA7geRg	Helen Ní Shé	Mo ghrá-sa (idir lúibíní)
hdyTWBahZjY	https://www.youtube.com/channel/UCb-rpYSR9K0r70VC8YrDGUg	breandan mac gearailt	Mo ghrá-sa (idir lúibíní)
kAURe3chTsk	https://www.youtube.com/channel/UCb-rpYSR9K0r70VC8YrDGUg	breandan mac gearailt	Colscaradh
NWpJkTBldaw	https://www.youtube.com/channel/UCb-rpYSR9K0r70VC8YrDGUg	breandan mac gearailt	An tEarrach Thiar
9wCQ2v-0VqQ	https://www.youtube.com/channel/UCb-rpYSR9K0r70VC8YrDGUg	breandan mac gearailt	Spailpín Fánach
riFLM4x5CnA	https://www.youtube.com/channel/UCb-rpYSR9K0r70VC8YrDGUg	breandan mac gearailt	Géibheann
SrgdU_QF8mk	https://www.youtube.com/channel/UC_xS76ZZEkVk1Lx-H23J01w	unk-m	An tEarrach Thiar	partial
tmWNjkzVJNk	https://www.youtube.com/channel/UC_xS76ZZEkVk1Lx-H23J01w	Mairéad Ní Chuaig	Géibheann	partial
HX_xwcSuZag	https://www.youtube.com/channel/UCd__CRDmcu3VfhPBwA7geRg	Dara Ó Cinnéide	An Spailpín Fánach
s-ZfBHHEafQ	https://www.youtube.com/channel/UCVL_ZTEaYyL90-gEJLNTvvQ	Marcus Lamb	An Spailpín Fánach
m9nXPwz66GM	https://www.youtube.com/channel/UCVL_ZTEaYyL90-gEJLNTvvQ	Marcus Lamb	Géibheann
h55fdru6-uE	https://www.youtube.com/channel/UCVL_ZTEaYyL90-gEJLNTvvQ	Marcus Lamb	Mo Ghrá-sa (Idir Lúibíní)
k0tc4cGR-tQ	https://www.youtube.com/channel/UC_xS76ZZEkVk1Lx-H23J01w	?m	An Spailpín Fánach	partial
hrUGsTFIO3w	https://www.youtube.com/channel/UC8gknnPUMmIB1DHb2Gg_S7w	unk-m1	An Spailpín Fánach
z5_bvIMdGyc	https://www.youtube.com/channel/UC_xS76ZZEkVk1Lx-H23J01w	Pádraig Mac Suibhne	Colscaradh
-K4zOi5JDlQ	https://www.youtube.com/channel/UC8gknnPUMmIB1DHb2Gg_S7w	unk-m2	An tEarrach Thiar
yqPpa6m_SGc	https://www.youtube.com/channel/UC8gknnPUMmIB1DHb2Gg_S7w	unk-m2	Colscaradh
QvnmaXI3R4Q	https://www.youtube.com/channel/UC8gknnPUMmIB1DHb2Gg_S7w	unk-m2	Mo Ghrá-sa (Idir Lúibíní)
hrUGsTFIO3w	https://www.youtube.com/channel/UC8gknnPUMmIB1DHb2Gg_S7w	unk-m2	An Spailpín Fánach
wTLGzKPNn9g	https://www.youtube.com/channel/UCz-dKSEySAWd2RTS6Uz4arA	unk-f2	Géibheann	full
JyvrZSC_EsY	https://www.youtube.com/channel/UCz-dKSEySAWd2RTS6Uz4arA	unk-f3	Mo Ghrása (Idir Lúibiní)	full
JqYcV6uAco0	https://www.youtube.com/channel/UCz-dKSEySAWd2RTS6Uz4arA	unk-m3	An tEarrach Thiar	full
w0-z9b9Awxs	https://www.youtube.com/channel/UCd__CRDmcu3VfhPBwA7geRg	Gormfhlaith Ní Thuairisg	An tEarrach Thiar
6WZ2EMMOcRM	https://www.youtube.com/channel/UCEGmFJpfI5233IizQ3yiBRQ	unk-m4	An tEarrach Thiar

